Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2019","2019","t","4890000","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0111","Wheat","2019","2019","t","233218","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0111","Wheat","2019","2019","t","3876876","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5510","Production","0111","Wheat","2019","2019","t","2945.33","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2019","2019","t","19459727","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5510","Production","0111","Wheat","2019","2019","t","112621","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0111","Wheat","2019","2019","t","17597560.79","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2019","2019","t","1596880","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","0111","Wheat","2019","2019","t","2114138.8","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0111","Wheat","2019","2019","t","1016811","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2019","2019","t","2308660","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2019","2019","t","1902380","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5510","Production","0111","Wheat","2019","2019","t","1318.54","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","0111","Wheat","2019","2019","t","237127","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5510","Production","0111","Wheat","2019","2019","t","264769","A","Official figure",""
"QCL","Crops and livestock products","072","Botswana","5510","Production","0111","Wheat","2019","2019","t","377","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0111","Wheat","2019","2019","t","5590815","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2019","2019","t","6319630","A","Official figure",""
"QCL","Crops and livestock products","108","Burundi","5510","Production","0111","Wheat","2019","2019","t","4894","A","Official figure",""
"QCL","Crops and livestock products","120","Cameroon","5510","Production","0111","Wheat","2019","2019","t","500","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0111","Wheat","2019","2019","t","32669800","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5510","Production","0111","Wheat","2019","2019","t","1613","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5510","Production","0111","Wheat","2019","2019","t","1399919","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0111","Wheat","2019","2019","t","133601131","A","Official figure",""
"QCL","Crops and livestock products","156","China, mainland","5510","Production","0111","Wheat","2019","2019","t","133596300","A","Official figure",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5510","Production","0111","Wheat","2019","2019","t","4831","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","0111","Wheat","2019","2019","t","5684.02","A","Official figure",""
"QCL","Crops and livestock products","191","Croatia","5510","Production","0111","Wheat","2019","2019","t","803270","A","Official figure",""
"QCL","Crops and livestock products","196","Cyprus","5510","Production","0111","Wheat","2019","2019","t","29470","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2019","2019","t","4812160","A","Official figure",""
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","0111","Wheat","2019","2019","t","87500","E","Estimated value",""
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5510","Production","0111","Wheat","2019","2019","t","10056.18","I","Imputed value",""
"QCL","Crops and livestock products","208","Denmark","5510","Production","0111","Wheat","2019","2019","t","4642090","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5510","Production","0111","Wheat","2019","2019","t","5073.39","A","Official figure",""
"QCL","Crops and livestock products","818","Egypt","5510","Production","0111","Wheat","2019","2019","t","8558807","A","Official figure",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","0111","Wheat","2019","2019","t","25000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","233","Estonia","5510","Production","0111","Wheat","2019","2019","t","846580","A","Official figure",""
"QCL","Crops and livestock products","748","Eswatini","5510","Production","0111","Wheat","2019","2019","t","691.39","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","0111","Wheat","2019","2019","t","5315270.33","A","Official figure",""
"QCL","Crops and livestock products","246","Finland","5510","Production","0111","Wheat","2019","2019","t","914180","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0111","Wheat","2019","2019","t","40604960","A","Official figure",""
"QCL","Crops and livestock products","268","Georgia","5510","Production","0111","Wheat","2019","2019","t","100600","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0111","Wheat","2019","2019","t","23062600","A","Official figure",""
"QCL","Crops and livestock products","300","Greece","5510","Production","0111","Wheat","2019","2019","t","979220","A","Official figure",""
"QCL","Crops and livestock products","320","Guatemala","5510","Production","0111","Wheat","2019","2019","t","164","A","Official figure",""
"QCL","Crops and livestock products","340","Honduras","5510","Production","0111","Wheat","2019","2019","t","1265.49","I","Imputed value",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2019","2019","t","5377710","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","2019","2019","t","103596230","A","Official figure",""
"QCL","Crops and livestock products","364","Iran (Islamic Republic of)","5510","Production","0111","Wheat","2019","2019","t","14500000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","368","Iraq","5510","Production","0111","Wheat","2019","2019","t","4343473","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","0111","Wheat","2019","2019","t","595360","A","Official figure",""
"QCL","Crops and livestock products","376","Israel","5510","Production","0111","Wheat","2019","2019","t","84750","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","0111","Wheat","2019","2019","t","6739470","A","Official figure",""
"QCL","Crops and livestock products","392","Japan","5510","Production","0111","Wheat","2019","2019","t","1037000","A","Official figure",""
"QCL","Crops and livestock products","400","Jordan","5510","Production","0111","Wheat","2019","2019","t","26361","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","0111","Wheat","2019","2019","t","11451648.71","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","0111","Wheat","2019","2019","t","366200","A","Official figure",""
"QCL","Crops and livestock products","414","Kuwait","5510","Production","0111","Wheat","2019","2019","t","57","A","Official figure",""
"QCL","Crops and livestock products","417","Kyrgyzstan","5510","Production","0111","Wheat","2019","2019","t","601216.2","A","Official figure",""
"QCL","Crops and livestock products","428","Latvia","5510","Production","0111","Wheat","2019","2019","t","2371000","A","Official figure",""
"QCL","Crops and livestock products","422","Lebanon","5510","Production","0111","Wheat","2019","2019","t","130000","A","Official figure",""
"QCL","Crops and livestock products","426","Lesotho","5510","Production","0111","Wheat","2019","2019","t","1432","A","Official figure",""
"QCL","Crops and livestock products","434","Libya","5510","Production","0111","Wheat","2019","2019","t","140000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","440","Lithuania","5510","Production","0111","Wheat","2019","2019","t","3843850","A","Official figure",""
"QCL","Crops and livestock products","442","Luxembourg","5510","Production","0111","Wheat","2019","2019","t","82260","A","Official figure",""
"QCL","Crops and livestock products","450","Madagascar","5510","Production","0111","Wheat","2019","2019","t","5000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","454","Malawi","5510","Production","0111","Wheat","2019","2019","t","566","A","Official figure",""
"QCL","Crops and livestock products","466","Mali","5510","Production","0111","Wheat","2019","2019","t","8226","A","Official figure",""
"QCL","Crops and livestock products","470","Malta","5510","Production","0111","Wheat","2019","2019","t","0","A","Official figure",""
"QCL","Crops and livestock products","478","Mauritania","5510","Production","0111","Wheat","2019","2019","t","7437.88","I","Imputed value",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","0111","Wheat","2019","2019","t","3244062.03","A","Official figure",""
"QCL","Crops and livestock products","496","Mongolia","5510","Production","0111","Wheat","2019","2019","t","411414.78","A","Official figure",""
"QCL","Crops and livestock products","499","Montenegro","5510","Production","0111","Wheat","2019","2019","t","2147","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5510","Production","0111","Wheat","2019","2019","t","4025302.52","A","Official figure",""
"QCL","Crops and livestock products","508","Mozambique","5510","Production","0111","Wheat","2019","2019","t","18000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","104","Myanmar","5510","Production","0111","Wheat","2019","2019","t","110663","A","Official figure",""
"QCL","Crops and livestock products","516","Namibia","5510","Production","0111","Wheat","2019","2019","t","6100","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0111","Wheat","2019","2019","t","2005665","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5510","Production","0111","Wheat","2019","2019","t","1130530","A","Official figure",""
"QCL","Crops and livestock products","540","New Caledonia","5510","Production","0111","Wheat","2019","2019","t","109","A","Official figure",""
"QCL","Crops and livestock products","554","New Zealand","5510","Production","0111","Wheat","2019","2019","t","398092","A","Official figure",""
"QCL","Crops and livestock products","562","Niger","5510","Production","0111","Wheat","2019","2019","t","4919.88","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","0111","Wheat","2019","2019","t","86900","A","Official figure",""
"QCL","Crops and livestock products","807","North Macedonia","5510","Production","0111","Wheat","2019","2019","t","239916","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","0111","Wheat","2019","2019","t","450100","A","Official figure",""
"QCL","Crops and livestock products","512","Oman","5510","Production","0111","Wheat","2019","2019","t","3615","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","0111","Wheat","2019","2019","t","24348983","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","0111","Wheat","2019","2019","t","34370","A","Official figure",""
"QCL","Crops and livestock products","600","Paraguay","5510","Production","0111","Wheat","2019","2019","t","1358000","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5510","Production","0111","Wheat","2019","2019","t","188468.76","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2019","2019","t","10807490","A","Official figure",""
"QCL","Crops and livestock products","620","Portugal","5510","Production","0111","Wheat","2019","2019","t","77070","A","Official figure",""
"QCL","Crops and livestock products","634","Qatar","5510","Production","0111","Wheat","2019","2019","t","1.4","A","Official figure",""
"QCL","Crops and livestock products","410","Republic of Korea","5510","Production","0111","Wheat","2019","2019","t","15024","A","Official figure",""
"QCL","Crops and livestock products","498","Republic of Moldova","5510","Production","0111","Wheat","2019","2019","t","1147482","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","0111","Wheat","2019","2019","t","10297110","A","Official figure",""
"QCL","Crops and livestock products","643","Russian Federation","5510","Production","0111","Wheat","2019","2019","t","74452692","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0111","Wheat","2019","2019","t","15686.27","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","0111","Wheat","2019","2019","t","500175","A","Official figure",""
"QCL","Crops and livestock products","688","Serbia","5510","Production","0111","Wheat","2019","2019","t","2534643.11","A","Official figure",""
"QCL","Crops and livestock products","703","Slovakia","5510","Production","0111","Wheat","2019","2019","t","1939130","A","Official figure",""
"QCL","Crops and livestock products","705","Slovenia","5510","Production","0111","Wheat","2019","2019","t","139810","A","Official figure",""
"QCL","Crops and livestock products","706","Somalia","5510","Production","0111","Wheat","2019","2019","t","1052.52","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","0111","Wheat","2019","2019","t","1535000","A","Official figure",""
"QCL","Crops and livestock products","728","South Sudan","5510","Production","0111","Wheat","2019","2019","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","724","Spain","5510","Production","0111","Wheat","2019","2019","t","6041170","A","Official figure",""
"QCL","Crops and livestock products","729","Sudan","5510","Production","0111","Wheat","2019","2019","t","726000","A","Official figure",""
"QCL","Crops and livestock products","752","Sweden","5510","Production","0111","Wheat","2019","2019","t","3476800","A","Official figure",""
"QCL","Crops and livestock products","756","Switzerland","5510","Production","0111","Wheat","2019","2019","t","497459","A","Official figure",""
"QCL","Crops and livestock products","760","Syrian Arab Republic","5510","Production","0111","Wheat","2019","2019","t","3085097","A","Official figure",""
"QCL","Crops and livestock products","762","Tajikistan","5510","Production","0111","Wheat","2019","2019","t","836884","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0111","Wheat","2019","2019","t","1320.27","E","Estimated value",""
"QCL","Crops and livestock products","788","Tunisia","5510","Production","0111","Wheat","2019","2019","t","1455000","A","Official figure",""
"QCL","Crops and livestock products","792","Türkiye","5510","Production","0111","Wheat","2019","2019","t","19000000","A","Official figure",""
"QCL","Crops and livestock products","795","Turkmenistan","5510","Production","0111","Wheat","2019","2019","t","1654024","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","0111","Wheat","2019","2019","t","24000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","804","Ukraine","5510","Production","0111","Wheat","2019","2019","t","28370280","A","Official figure",""
"QCL","Crops and livestock products","784","United Arab Emirates","5510","Production","0111","Wheat","2019","2019","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0111","Wheat","2019","2019","t","16225000","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5510","Production","0111","Wheat","2019","2019","t","63388","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","0111","Wheat","2019","2019","t","52580890","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5510","Production","0111","Wheat","2019","2019","t","727600","A","Official figure",""
"QCL","Crops and livestock products","860","Uzbekistan","5510","Production","0111","Wheat","2019","2019","t","6093462","A","Official figure",""
"QCL","Crops and livestock products","862","Venezuela (Bolivarian Republic of)","5510","Production","0111","Wheat","2019","2019","t","831","A","Official figure",""
"QCL","Crops and livestock products","887","Yemen","5510","Production","0111","Wheat","2019","2019","t","100332","A","Official figure",""
"QCL","Crops and livestock products","894","Zambia","5510","Production","0111","Wheat","2019","2019","t","151850.47","A","Official figure",""
"QCL","Crops and livestock products","716","Zimbabwe","5510","Production","0111","Wheat","2019","2019","t","94685","A","Official figure",""
